100l,11m,315.37932871603624
100l,100m,582.9493873201918
100l,17m,334.5823122003197
100l,10m,327.042621204049
100l,13m,326.5769845498135
100l,16m,331.4198188598828
100l,104m,647.8135322322855
100l,103m,663.3494938732019
100l,101m,1148.9989344698988
100l,35m,338.2115077250932
100l,19m,329.20351624933403
100l,25m,600.4288758657432
100l,15m,819.0207778369739
100l,21m,330.22003196590305
100l,27m,325.27916888652106
100l,26m,325.59829515183804
100l,33m,330.8561534363346
100l,32m,321.5641981885988
100l,18m,699.2988811933938
100l,23m,690.8108684070324
100l,31m,744.9072988811934
100l,30m,3076.288758657432
100l,102m,770.4432605221098
100l,28m,1285.1449120937666
100l,20m,851.3771976558338
100l,12m,800.8199254128929
100l,22m,583.1140117208311
100l,14m,1024.7256259989344
100l,29m,922.6164091635588
100l,34m,917.9078316462441
100l,24m,322.80713905167823
100l,36m,790.7810335641982
100l,66m,320.36760788492273
100l,43m,320.7773042088439
100l,39m,334.9605753862547
100l,41m,332.2147043153969
100l,42m,327.12573255194457
100l,44m,325.36014917421414
100l,40m,623.8572189664358
100l,37m,1313.5903036760787
100l,46m,327.0223761321257
100l,38m,980.213106020245
100l,51m,615.2603833865815
100l,45m,344.3159296750133
100l,50m,582.8300479488546
100l,49m,334.2733084709643
100l,48m,629.6691529035695
100l,56m,576.259989344699
100l,55m,323.77570591369204
100l,52m,828.4592434736281
100l,57m,577.8204581779436
100l,54m,777.0927011188066
100l,53m,865.6180074587107
100l,47m,725.2781033564198
100l,6m,327.1811401172083
100l,59m,327.3361747469366
100l,58m,632.4299413958445
100l,60m,893.8481619605753
100l,63m,599.2413425679275
100l,62m,598.9557805007992
100l,64m,840.3873201917954
100l,65m,603.401704848162
100l,61m,601.3313798614811
100l,67m,570.9499200852424
100l,68m,629.964304741609
100l,71m,334.4501864677677
100l,70m,338.7687799680341
100l,73m,327.09589770911026
100l,75m,334.5274374001066
100l,69m,919.8449653702717
100l,74m,329.98082045817796
100l,72m,906.5578050079914
100l,79m,583.1379861481087
100l,7m,860.1523708044753
100l,76m,329.3079381992541
100l,77m,311.950452850293
100l,78m,327.16089504528503
100l,8m,755.5141182738413
100l,81m,328.4331379861481
100l,80m,321.5178476291955
100l,84m,645.6863684771033
100l,82m,624.3862546616942
100l,86m,593.2376132125733
100l,87m,380.1640916355887
100l,85m,670.5862619808307
100l,83m,894.2733084709643
100l,9m,621.0367607884923
100l,94m,334.75066595631324
100l,89m,717.6632924880128
100l,88m,846.0554075652637
100l,92m,505.092168353756
100l,91m,3144.9968034096964
100l,90m,908.8518913159297
100l,93m,1043.1992541289292
100l,95m,335.62759722962176
100l,99m,1049.2290889717635
100l,96m,667.9435269046351
100l,97m,329.8779968034097
101l,10m,304.6387852956846
101l,100m,551.0879062333511
100l,98m,767.3074054342035
101l,17m,313.1683537559936
101l,101m,1119.3244539158231
101l,104m,624.5423548215238
101l,102m,755.720831113479
101l,11m,294.0047948854555
101l,103m,655.8678742674481
101l,16m,307.1342567927544
101l,19m,308.4128929142248
101l,13m,304.1273308470964
101l,15m,806.4134256792754
101l,12m,785.4549813532233
101l,21m,306.0516782099094
101l,14m,1014.3217900905701
101l,18m,678.2040490143846
101l,23m,676.786893979755
101l,24m,301.3755993606819
101l,25m,576.4640383590836
101l,26m,301.6467767714438
101l,20m,841.4246137453383
101l,22m,573.3436334576452
101l,27m,303.8193926478423
101l,28m,1260.0575386254661
101l,29m,904.7543953116675
101l,30m,3021.880127863612
101l,31m,716.1358550879062
101l,32m,298.38145977623867
101l,33m,306.12093766648906
101l,37m,1279.6590303676078
101l,35m,314.2647842301545
101l,36m,785.213106020245
101l,34m,904.920085242408
101l,41m,306.6792754395312
101l,39m,313.40490143846563
101l,40m,594.9152903569526
101l,44m,303.3068726691529
101l,42m,300.85455514118274
101l,38m,956.3729355354288
101l,46m,304.5045285029302
101l,43m,300.4256792754395
