204l,80m,4.059413890004015
204l,81m,4.718185467683661
204l,82m,3.2617422721798475
204l,83m,4.077077478924127
198l,76m,3.117008443908323
198l,77m,9.641737032569361
198l,78m,12.879372738238843
198l,79m,14.326497788500202
198l,80m,6.176919983916365
198l,81m,7.100924809006836
198l,82m,5.110977080820265
198l,83m,6.188982710092481
199l,74m,7.807306302689683
199l,75m,10.334002408671216
199l,76m,4.30309112806102
199l,77m,11.525090325170614
199l,78m,15.11722199919711
199l,79m,16.7025291047772
199l,80m,7.811722199919711
199l,81m,8.824167001204335
199l,82m,6.607788036932958
199l,83m,7.823364110798876
200l,74m,7.3024567055980665
200l,75m,9.886427708417237
200l,76m,3.7551349174385824
200l,77m,11.07933950865888
200l,78m,14.453483689085783
200l,79m,15.954893274265002
200l,80m,7.334273056786146
200l,81m,8.342730567861459
200l,82m,6.097060008054773
200l,83m,7.309706000805477
201l,74m,5.940773569701854
201l,75m,8.329572925060436
201l,76m,2.7377115229653506
201l,77m,9.437550362610798
195l,74m,5.796767676767677
195l,75m,7.936161616161616
195l,76m,2.8719191919191918
195l,77m,8.971717171717172
195l,78m,12.032727272727273
195l,79m,13.38020202020202
195l,80m,5.78949494949495
195l,81m,6.612525252525253
195l,82m,4.767676767676767
195l,83m,5.835555555555556
196l,74m,6.325955734406438
196l,75m,8.799597585513078
196l,76m,2.98953722334004
196l,77m,9.926760563380281
196l,78m,13.21327967806841
196l,79m,14.634607645875251
196l,80m,6.366599597585513
196l,81m,7.327565392354125
196l,82m,5.162977867203219
196l,83m,6.3613682092555335
197l,74m,2.724778046811945
197l,75m,4.207021791767555
197l,76m,1.152542372881356
197l,77m,4.994753833736884
197l,78m,7.426957223567393
197l,79m,8.523002421307506
197l,80m,2.6941081517352705
197l,81m,3.248587570621469
197l,82m,2.146892655367232
197l,83m,2.7376916868442294
198l,74m,6.160836349014877
198l,75m,8.522718134298351
201l,78m,12.569701853344077
201l,79m,13.963738920225625
201l,80m,5.925060435132957
201l,81m,6.925060435132957
201l,82m,4.756647864625302
201l,83m,5.942385173247382
202l,74m,1.70870265914585
202l,75m,2.862207896857373
202l,76m,0.919822723609992
202l,77m,3.452860596293312
202l,78m,5.331587429492345
202l,79m,6.205882352941177
202l,80m,1.6809024979854956
202l,81m,2.0874294923448833
202l,82m,1.2542304593070104
202l,83m,1.7082997582594681
203l,74m,3.7780910189287154
203l,75m,5.688280306081353
203l,76m,1.6210229561014902
203l,77m,6.621828433346758
203l,78m,9.362867498993154
203l,79m,10.501006846556585
203l,80m,3.796616995569875
203l,81m,4.531614981876762
203l,82m,2.9476439790575917
203l,83m,3.805879983890455
204l,74m,4.085507828181453
204l,75m,5.737053392211963
204l,76m,1.8683259735046167
204l,77m,6.541549578482537
204l,78m,9.082296266559615
204l,79m,10.215977519068646
199l,202l,4.11682055399438
199l,203l,1.8916097952629467
199l,204l,1.936973103171417
200l,201l,1.1151832460732984
200l,202l,3.5839710028191702
200l,203l,1.4764397905759161
200l,204l,1.5126455238859895
201l,202l,2.587832393231265
201l,203l,1.054369714055578
201l,204l,1.0843034925732637
202l,203l,1.5296012887635924
202l,204l,1.7980730630268968
203l,204l,0.8932155760738659
195l,196l,0.89738430583501
195l,197l,1.7510088781275222
195l,198l,0.9183755528749498
195l,199l,1.3356081894821357
195l,200l,0.9935561820378574
195l,201l,0.9448025785656728
195l,202l,2.731668009669621
195l,203l,1.1457913813934757
195l,204l,1.153352067442794
196l,197l,1.7935613682092555
196l,198l,0.9360675512665863
196l,199l,1.2436772380570051
196l,200l,0.9919517102615694
196l,201l,0.9291750503018109
196l,202l,2.8712273641851107
196l,203l,1.1114688128772636
196l,204l,1.1473303894018467
197l,198l,1.819059107358263
197l,199l,2.83661180248896
197l,200l,2.364478453483689
197l,201l,1.5999194198227236
197l,202l,1.1482675261885575
197l,203l,1.0422875553765607
197l,204l,1.1593737454837414
198l,199l,1.3103171417101567
198l,200l,1.0032167269802976
198l,201l,0.9384800965018094
198l,202l,2.938078005629272
198l,203l,1.1186168073984721
198l,204l,1.1549578482537133
199l,200l,1.055800883179446
199l,201l,1.4106784423926133
78m,81m,1.813532232285562
78m,82m,3.075119872136388
78m,83m,2.595631326584976
79m,80m,3.08950452850293
79m,81m,2.1848694725626
79m,82m,3.7373468300479487
79m,83m,3.0756526371870003
80m,81m,1.1108151305274374
80m,82m,1.0863079381992542
80m,83m,1.0543420351624933
81m,82m,1.2344166222695792
81m,83m,1.1022908897176344
82m,83m,1.0958977091102824
74m,75m,1.3857218966435803
74m,76m,1.9120937666489077
74m,77m,1.7314864144912094
74m,78m,2.818327117741076
74m,79m,3.431006925945658
74m,80m,1.0543420351624933
74m,81m,1.1672882258923816
74m,82m,1.1022908897176344
74m,83m,1.0756526371870005
75m,76m,2.875332978156633
75m,77m,1.0761854022376132
75m,78m,1.515716568993074
75m,79m,1.8231220031965902
75m,80m,1.2200319659030368
75m,81m,1.1624933404368674
75m,82m,1.4784230154501865
75m,83m,1.3404368673415024
76m,77m,3.4134256792754396
76m,78m,5.066595631326585
76m,79m,5.8481619605753865
76m,80m,1.8524240809802877
76m,81m,2.2599893446989876
76m,82m,1.472562599893447
76m,83m,1.9014384656366543
77m,78m,1.2823654768247204
77m,79m,1.5562067128396377
77m,80m,1.4869472562599892
77m,81m,1.1598295151838038
77m,82m,1.768779968034097
77m,83m,1.5929675013319127
78m,79m,1.1060202450719232
78m,80m,2.4986680873734683
