Connecting to host 10.0.0.1, port 5336
[  5] local 10.0.0.4 port 53318 connected to 10.0.0.1 port 5336
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  8.38 MBytes  70.2 Mbits/sec    0   5.29 MBytes       
[  5]   1.00-2.00   sec  22.6 MBytes   190 Mbits/sec    0   6.05 MBytes       
[  5]   2.00-3.00   sec  22.9 MBytes   192 Mbits/sec    0   6.05 MBytes       
[  5]   3.00-4.00   sec  22.8 MBytes   191 Mbits/sec    0   6.05 MBytes       
[  5]   4.00-5.00   sec  22.8 MBytes   191 Mbits/sec    0   6.05 MBytes       
[  5]   5.00-6.00   sec  22.8 MBytes   191 Mbits/sec    0   6.05 MBytes       
[  5]   6.00-7.00   sec  22.8 MBytes   191 Mbits/sec    0   6.05 MBytes       
[  5]   7.00-8.00   sec  23.9 MBytes   200 Mbits/sec    0   6.05 MBytes       
[  5]   8.00-9.00   sec  22.8 MBytes   191 Mbits/sec    0   6.05 MBytes       
[  5]   9.00-10.00  sec  22.8 MBytes   191 Mbits/sec    0   6.05 MBytes       
[  5]  10.00-11.00  sec  22.8 MBytes   191 Mbits/sec    0   6.05 MBytes       
[  5]  11.00-12.00  sec  22.9 MBytes   192 Mbits/sec    0   6.05 MBytes       
[  5]  12.00-13.00  sec  22.6 MBytes   190 Mbits/sec    0   6.05 MBytes       
[  5]  13.00-14.00  sec  22.8 MBytes   191 Mbits/sec    0   4.27 MBytes       
[  5]  14.00-15.00  sec  22.9 MBytes   192 Mbits/sec    0   2.99 MBytes       
[  5]  15.00-16.00  sec  23.2 MBytes   195 Mbits/sec    0   3.05 MBytes       
[  5]  16.00-17.00  sec  21.6 MBytes   181 Mbits/sec    0   2.15 MBytes       
[  5]  17.00-18.00  sec  21.6 MBytes   181 Mbits/sec    0   1.73 MBytes       
[  5]  18.00-19.00  sec  12.2 MBytes   103 Mbits/sec    0   1.18 MBytes       
[  5]  19.00-20.00  sec  12.2 MBytes   103 Mbits/sec    0   1.25 MBytes       
[  5]  20.00-21.00  sec  8.12 MBytes  68.2 Mbits/sec    0    960 KBytes       
[  5]  21.00-22.00  sec  9.50 MBytes  79.7 Mbits/sec    0   1014 KBytes       
[  5]  22.00-23.00  sec  9.50 MBytes  79.7 Mbits/sec    0   1.03 MBytes       
[  5]  23.00-24.00  sec  10.8 MBytes  90.2 Mbits/sec    0   1.05 MBytes       
[  5]  24.00-25.00  sec  9.50 MBytes  79.7 Mbits/sec    0   1.06 MBytes       
[  5]  25.00-26.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.06 MBytes       
[  5]  26.00-27.00  sec  9.50 MBytes  79.7 Mbits/sec    0   1.06 MBytes       
[  5]  27.00-28.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.06 MBytes       
[  5]  28.00-29.00  sec  10.8 MBytes  90.2 Mbits/sec    0   1.07 MBytes       
[  5]  29.00-30.00  sec  9.50 MBytes  79.7 Mbits/sec    0   1.08 MBytes       
[  5]  30.00-31.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.10 MBytes       
[  5]  31.00-32.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.13 MBytes       
[  5]  32.00-33.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.18 MBytes       
[  5]  33.00-34.00  sec  12.1 MBytes   102 Mbits/sec    0   1.24 MBytes       
[  5]  34.00-35.00  sec  12.2 MBytes   103 Mbits/sec    0   1.33 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-35.00  sec   575 MBytes   138 Mbits/sec    0             sender
[  5]   0.00-35.10  sec   573 MBytes   137 Mbits/sec                  receiver

iperf Done.
