Connecting to host 10.0.0.1, port 5328
[  5] local 10.0.0.4 port 45762 connected to 10.0.0.1 port 5328
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  7.00 MBytes  58.7 Mbits/sec    0   4.52 MBytes       
[  5]   1.00-2.00   sec  24.1 MBytes   202 Mbits/sec    0   6.06 MBytes       
[  5]   2.00-3.00   sec  22.8 MBytes   191 Mbits/sec    0   6.06 MBytes       
[  5]   3.00-4.00   sec  22.8 MBytes   191 Mbits/sec    0   6.06 MBytes       
[  5]   4.00-5.00   sec  22.6 MBytes   190 Mbits/sec    0   6.06 MBytes       
[  5]   5.00-6.00   sec  22.5 MBytes   189 Mbits/sec    0   6.06 MBytes       
[  5]   6.00-7.00   sec  22.5 MBytes   189 Mbits/sec    0   6.06 MBytes       
[  5]   7.00-8.00   sec  22.8 MBytes   191 Mbits/sec    0   6.06 MBytes       
[  5]   8.00-9.00   sec  22.6 MBytes   190 Mbits/sec    0   6.06 MBytes       
[  5]   9.00-10.00  sec  24.0 MBytes   201 Mbits/sec    0   6.06 MBytes       
[  5]  10.00-11.00  sec  21.8 MBytes   182 Mbits/sec    0   3.05 MBytes       
[  5]  11.00-12.00  sec  23.4 MBytes   196 Mbits/sec    0   3.05 MBytes       
[  5]  12.00-13.00  sec  23.2 MBytes   195 Mbits/sec    0   3.05 MBytes       
[  5]  13.00-14.00  sec  21.8 MBytes   182 Mbits/sec    0   2.19 MBytes       
[  5]  14.00-15.00  sec  17.6 MBytes   148 Mbits/sec    0   1.13 MBytes       
[  5]  15.00-16.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.21 MBytes       
[  5]  16.00-17.00  sec  12.1 MBytes   102 Mbits/sec    0   1.27 MBytes       
[  5]  17.00-18.00  sec  12.2 MBytes   103 Mbits/sec    0   1.31 MBytes       
[  5]  18.00-19.00  sec  12.1 MBytes   102 Mbits/sec    0   1.34 MBytes       
[  5]  19.00-20.00  sec  13.6 MBytes   114 Mbits/sec    0   1.35 MBytes       
[  5]  20.00-21.00  sec  12.1 MBytes   102 Mbits/sec    0   1.36 MBytes       
[  5]  21.00-22.00  sec  13.6 MBytes   114 Mbits/sec    0   1.36 MBytes       
[  5]  22.00-23.00  sec  13.5 MBytes   113 Mbits/sec    0   1.36 MBytes       
[  5]  23.00-24.00  sec  13.6 MBytes   114 Mbits/sec    0   1.36 MBytes       
[  5]  24.00-25.00  sec  12.1 MBytes   102 Mbits/sec    0   1.37 MBytes       
[  5]  25.00-26.00  sec  13.6 MBytes   114 Mbits/sec    0   1.39 MBytes       
[  5]  26.00-27.00  sec  13.5 MBytes   113 Mbits/sec    0   1.41 MBytes       
[  5]  27.00-28.00  sec  13.6 MBytes   114 Mbits/sec    0   1.45 MBytes       
[  5]  28.00-29.00  sec  14.9 MBytes   125 Mbits/sec    0   1.51 MBytes       
[  5]  29.00-30.00  sec  14.9 MBytes   125 Mbits/sec    0   1.60 MBytes       
[  5]  30.00-31.00  sec  15.0 MBytes   126 Mbits/sec    0   1.70 MBytes       
[  5]  31.00-32.00  sec  17.6 MBytes   148 Mbits/sec    0   1.84 MBytes       
[  5]  32.00-33.00  sec  17.6 MBytes   148 Mbits/sec    0   2.01 MBytes       
[  5]  33.00-34.00  sec  20.2 MBytes   170 Mbits/sec    0   2.21 MBytes       
[  5]  34.00-35.00  sec  21.8 MBytes   182 Mbits/sec    0   2.45 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-35.00  sec   610 MBytes   146 Mbits/sec    0             sender
[  5]   0.00-35.10  sec   610 MBytes   146 Mbits/sec                  receiver

iperf Done.
