Connecting to host 10.0.0.1, port 5350
[  5] local 10.0.0.4 port 33098 connected to 10.0.0.1 port 5350
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  7.62 MBytes  63.9 Mbits/sec    0   1.54 MBytes       
[  5]   1.00-2.00   sec  17.6 MBytes   148 Mbits/sec    0   2.44 MBytes       
[  5]   2.00-3.00   sec  22.9 MBytes   192 Mbits/sec    0   3.20 MBytes       
[  5]   3.00-4.00   sec  22.9 MBytes   192 Mbits/sec    0   3.20 MBytes       
[  5]   4.00-5.00   sec  23.1 MBytes   194 Mbits/sec    0   3.20 MBytes       
[  5]   5.00-6.00   sec  23.0 MBytes   193 Mbits/sec    0   3.20 MBytes       
[  5]   6.00-7.00   sec  23.2 MBytes   195 Mbits/sec    0   3.20 MBytes       
[  5]   7.00-8.00   sec  21.8 MBytes   182 Mbits/sec    0   3.20 MBytes       
[  5]   8.00-9.00   sec  23.1 MBytes   194 Mbits/sec    0   3.20 MBytes       
[  5]   9.00-10.00  sec  23.1 MBytes   194 Mbits/sec    0   3.20 MBytes       
[  5]  10.00-11.00  sec  21.8 MBytes   182 Mbits/sec    0   2.36 MBytes       
[  5]  11.00-12.00  sec  23.0 MBytes   193 Mbits/sec    0   2.56 MBytes       
[  5]  12.00-13.00  sec  21.6 MBytes   181 Mbits/sec    0   1.90 MBytes       
[  5]  13.00-14.00  sec  17.6 MBytes   148 Mbits/sec    0   2.01 MBytes       
[  5]  14.00-15.00  sec  20.4 MBytes   171 Mbits/sec    0   2.09 MBytes       
[  5]  15.00-16.00  sec  20.2 MBytes   170 Mbits/sec    0   2.15 MBytes       
[  5]  16.00-17.00  sec  20.4 MBytes   171 Mbits/sec    0   2.19 MBytes       
[  5]  17.00-18.00  sec  21.6 MBytes   181 Mbits/sec    0   2.22 MBytes       
[  5]  18.00-19.00  sec  20.4 MBytes   171 Mbits/sec    0   2.23 MBytes       
[  5]  19.00-20.00  sec  21.8 MBytes   182 Mbits/sec    0   2.24 MBytes       
[  5]  20.00-21.00  sec  21.6 MBytes   181 Mbits/sec    0   2.24 MBytes       
[  5]  21.00-22.00  sec  21.8 MBytes   182 Mbits/sec    0   2.24 MBytes       
[  5]  22.00-23.00  sec  21.6 MBytes   181 Mbits/sec    0   2.24 MBytes       
[  5]  23.00-24.00  sec  21.8 MBytes   182 Mbits/sec    0   2.25 MBytes       
[  5]  24.00-25.00  sec  21.6 MBytes   181 Mbits/sec    0   2.27 MBytes       
[  5]  25.00-26.00  sec  21.8 MBytes   182 Mbits/sec    0   2.29 MBytes       
[  5]  26.00-27.00  sec  21.6 MBytes   181 Mbits/sec    0   2.33 MBytes       
[  5]  27.00-28.00  sec  21.8 MBytes   182 Mbits/sec    0   2.39 MBytes       
[  5]  28.00-29.00  sec  23.1 MBytes   194 Mbits/sec    0   2.47 MBytes       
[  5]  29.00-30.00  sec  22.9 MBytes   192 Mbits/sec    0   2.58 MBytes       
[  5]  30.00-31.00  sec  22.9 MBytes   192 Mbits/sec    0   2.71 MBytes       
[  5]  31.00-32.00  sec  22.9 MBytes   192 Mbits/sec    0   2.87 MBytes       
[  5]  32.00-33.00  sec  23.0 MBytes   193 Mbits/sec    0   3.05 MBytes       
[  5]  33.00-34.00  sec  22.2 MBytes   187 Mbits/sec    0   3.05 MBytes       
[  5]  34.00-35.00  sec  22.0 MBytes   184 Mbits/sec    0   3.05 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-35.00  sec   751 MBytes   180 Mbits/sec    0             sender
[  5]   0.00-35.10  sec   750 MBytes   179 Mbits/sec                  receiver

iperf Done.
